Cat,Goodtype,Tradability,importshare,DiD_estimate,Std._Error,P_value,elasticity,DiD_Synth,SE_Synth
HH,Personal effects n.e.c,45.84,0.542857143,-1.837039974,0.331607733,1.59E-06,0.21570077,-3.003913947,2.004750879
HH,Pets and related products and services,6.76,0.475,-0.700104827,0.386692006,0.077050629,-0.049828153,-0.459311104,1.341241495
HH,Pharmaceutical products,71.47,0.7,-2.576383417,0.316714354,2.59E-10,0.010620581,-0.819342847,1.833125575
RETAIL,Processed food excl. alcohol and tobacco,21.05,NA,-0.634060946,0.179579535,0.000985395,0.123775982,-1.059334369,1.289744694
RETAIL,Processed food incl. alcohol and tobacco,21.05,NA,-1.112775736,0.171678361,6.60E-08,0.087014902,-1.294033727,1.222784442
OTHER,Purchase of vehicles,57.7,0.74,-4.048049393,0.563242946,6.09E-09,0.464632138,-4.276153542,1.495222979
OTHER,Recreation and culture,45.84,NA,-3.426839442,0.673144954,7.14E-06,0.251744218,-3.957873385,1.912734074
SER,Recreational and cultural services,0,0,-1.521800595,0.27160408,1.29E-06,0.029183775,-0.571045437,1.403911796
SER,Restaurants and hotels,0,0,-2.826072373,0.636021019,5.91E-05,0.148764459,-1.462717988,1.928203938
SER,Restaurants and caf‚,0,0,-2.199027962,0.303909152,5.17E-09,0.076132359,-0.76205683,1.046213418
SER,Services related to communication,0.21,0,-0.770721062,0.293731409,0.011903906,0.134673461,-0.902893351,1.508611312
SER,Services related to housing,9.09,0,-1.531336804,0.301936654,7.61E-06,0.045397923,-0.452030447,0.768994184
SER,Services related to holidays and accommodation,0,0,-6.796373007,2.461735729,0.008377021,0.328368042,-4.653078337,3.961001328
SER,Services related to recreation and personal care,0,0,-1.983814906,0.284590764,1.26E-08,0.056085501,-0.604062527,1.033282527
SER,Services related to transport,6.99,0,-0.75071823,0.86011433,0.387503901,0.077291654,-0.527086548,1.59358469
OTHER,Solid fuels,18.46,1,-6.73563497,1.231062938,2.01E-06,0.795225482,-7.511377337,1.906347328
HH,Spare parts and accessories for personal transport equipment,55.54,1,-3.228486815,0.481643882,3.12E-08,0.357972657,-3.73698761,1.666189228
RETAIL,Spirits,42.57,0.88,-2.687988655,0.315986066,7.64E-11,0.078581976,-0.753601792,2.03492796
RETAIL,"Sugar, jam, honey, chocolate and confectionery",16.8,0.301666667,0.761408719,0.457735433,0.103335082,0.056989811,-1.284595374,2.307135681
HH,Telephone and telefax equipment,146.38,1,-1.624406828,1.272808442,0.208566935,-0.012760046,-0.998270569,6.508551963
SER,Telephone and telefax services,0.21,0,-0.495349377,0.312930048,0.120597539,0.098522938,-0.82559844,1.651345386
RETAIL,Tobacco,4.04,0.08,-1.990524132,0.490332095,0.000198694,0.095008098,-1.445179577,1.601882031
HH,Tools and equipment for house and garden,37.2,0.783333333,-1.970607251,0.368287656,3.00E-06,0.188421972,-2.237978534,1.534254258
RETAIL,Vegetables,24.6,0.338333333,-4.536616185,2.282894534,0.053145133,0.214161913,-1.683244028,3.64142202
RETAIL,Wine,44.76,0.6828,-1.253817952,0.337180243,0.000563946,0.161909213,-1.577765238,1.789239964
